213        Isotope List   
     Name    A   Z 
 1262    1 P  31 ( 1 HE  4, 0      )  1 CL 35 +   6.998 MEV
 1263    1 S  34 ( 1 H   1, 1 HE  4)  1 P  31 +  -0.627 MEV
 1264    1 P  32 ( 1 HE  4, 0      )  1 CL 36 +   7.642 MEV
 1265    1 P  33 ( 1 HE  4, 0      )  1 CL 37 +   7.850 MEV
 1266    1 P  34 ( 1 HE  4, 1 NE  1)  1 CL 37 +   1.567 MEV
 1267    1 P  34 ( 1 HE  4, 0      )  1 CL 38 +   7.674 MEV
 1268    1 CL 37 ( 1 NE  1, 1 HE  4)  1 P  34 +  -1.567 MEV
 1269    1 P  35 ( 1 HE  4, 0      )  1 CL 39 +   7.367 MEV
 1270    1 P  36 ( 1 HE  4, 1 NE  1)  1 CL 39 +   3.903 MEV
 1271    1 P  36 ( 1 HE  4, 0      )  1 CL 40 +   9.732 MEV
 1272    1 CL 39 ( 1 NE  1, 1 HE  4)  1 P  36 +  -3.903 MEV
 1273    1 P  26 ( 0      , 1 H   1)  1 SI 25 +  -0.143 MEV
 1274    1 P  26 ( 0      , 1 HE  4)  1 AL 22 +  -9.653 MEV
 1275    1 P  27 ( 0      , 1 NE  1)  1 P  26 + -19.766 MEV
 1276    1 P  27 ( 0      , 1 H   1)  1 SI 26 +  -0.861 MEV
 1277    1 P  27 ( 0      , 1 HE  4)  1 AL 23 +  -9.895 MEV
 1278    1 P  28 ( 0      , 1 NE  1)  1 P  27 + -14.497 MEV
 1279    1 P  28 ( 0      , 1 H   1)  1 SI 27 +  -2.063 MEV
 1280    1 P  28 ( 0      , 1 HE  4)  1 AL 24 +  -9.525 MEV
 1281    1 P  29 ( 0      , 1 NE  1)  1 P  28 + -17.875 MEV
 1282    1 P  29 ( 0      , 1 H   1)  1 SI 28 +  -2.749 MEV
 1283    1 P  29 ( 0      , 1 HE  4)  1 AL 25 + -10.461 MEV
 1284    1 P  30 ( 0      , 1 NE  1)  1 P  29 + -11.320 MEV
 1285    1 P  30 ( 0      , 1 H   1)  1 SI 29 +  -5.595 MEV
 1286    1 P  31 ( 0      , 1 NE  1)  1 P  30 + -12.311 MEV
 1287    1 P  31 ( 0      , 1 H   1)  1 SI 30 +  -7.297 MEV
 1288    1 P  31 ( 0      , 1 HE  4)  1 AL 27 +  -9.669 MEV
 1289    1 P  32 ( 0      , 1 NE  1)  1 P  31 +  -7.935 MEV
 1290    1 P  32 ( 0      , 1 H   1)  1 SI 31 +  -8.645 MEV
 1291    1 P  32 ( 0      , 1 HE  4)  1 AL 28 +  -9.879 MEV
 1292    1 P  33 ( 0      , 1 NE  1)  1 P  32 + -10.103 MEV
 1293    1 P  33 ( 0      , 1 HE  4)  1 AL 29 + -10.557 MEV
 1294    1 P  34 ( 0      , 1 NE  1)  1 P  33 +  -6.283 MEV
 1295    1 P  34 ( 0      , 1 HE  4)  1 AL 30 + -11.102 MEV
 1296    1 P  35 ( 0      , 1 NE  1)  1 P  34 +  -8.380 MEV
 1297    1 P  36 ( 0      , 1 NE  1)  1 P  35 +  -3.464 MEV
 1298    1 S  27 ( 1 NE  1, 1 H   1)  1 P  27 +  18.532 MEV
 1299    1 S  27 ( 1 NE  1, 1 HE  4)  1 SI 24 +  11.930 MEV
 1300    1 S  27 ( 1 NE  1, 0      )  1 S  28 +  21.026 MEV
 1301    1 P  27 ( 1 H   1, 1 NE  1)  1 S  27 + -18.532 MEV
 1302    1 SI 24 ( 1 HE  4, 1 NE  1)  1 S  27 + -11.930 MEV
 1303    1 S  28 ( 1 NE  1, 1 H   1)  1 P  28 +  12.003 MEV
 1304    1 S  28 ( 1 NE  1, 1 HE  4)  1 SI 25 +   5.892 MEV
 1305    1 S  28 ( 1 NE  1, 0      )  1 S  29 +  15.300 MEV
 1306    1 P  28 ( 1 H   1, 1 NE  1)  1 S  28 + -12.003 MEV
 1307    1 SI 25 ( 1 HE  4, 1 NE  1)  1 S  28 +  -5.892 MEV
 1308    1 S  29 ( 1 NE  1, 1 H   1)  1 P  29 +  14.578 MEV
 1309    1 S  29 ( 1 NE  1, 1 HE  4)  1 SI 26 +   9.631 MEV
 1310    1 S  29 ( 1 NE  1, 0      )  1 S  30 +  18.974 MEV
 1311    1 P  29 ( 1 H   1, 1 NE  1)  1 S  29 + -14.578 MEV
 1312    1 SI 26 ( 1 HE  4, 1 NE  1)  1 S  29 +  -9.631 MEV
 1313    1 S  30 ( 1 NE  1, 1 H   1)  1 P  30 +   6.924 MEV
 1314    1 S  30 ( 1 NE  1, 1 HE  4)  1 SI 27 +   3.971 MEV
 1315    1 S  30 ( 1 NE  1, 0      )  1 S  31 +  13.055 MEV
 1316    1 P  30 ( 1 H   1, 1 NE  1)  1 S  30 +  -6.924 MEV
 1317    1 SI 27 ( 1 HE  4, 1 NE  1)  1 S  30 +  -3.971 MEV
 1318    1 S  31 ( 1 NE  1, 1 H   1)  1 P  31 +   6.180 MEV
 1319    1 S  31 ( 1 NE  1, 1 HE  4)  1 SI 28 +   8.096 MEV
 1320    1 S  31 ( 1 NE  1, 0      )  1 S  32 +  15.044 MEV
 1321    1 P  31 ( 1 H   1, 1 NE  1)  1 S  31 +  -6.180 MEV
 1322    1 SI 28 ( 1 HE  4, 1 NE  1)  1 S  31 +  -8.096 MEV
 1323    1 S  32 ( 1 NE  1, 1 HE  4)  1 SI 29 +   1.525 MEV
 1324    1 S  32 ( 1 NE  1, 0      )  1 S  33 +   8.641 MEV
 1325    1 SI 29 ( 1 HE  4, 1 NE  1)  1 S  32 +  -1.525 MEV
 1326    1 S  33 ( 1 NE  1, 1 H   1)  1 P  33 +   0.533 MEV
 1327    1 S  33 ( 1 NE  1, 1 HE  4)  1 SI 30 +   3.493 MEV
 1328    1 S  33 ( 1 NE  1, 0      )  1 S  34 +  11.417 MEV
 1329    1 P  33 ( 1 H   1, 1 NE  1)  1 S  33 +  -0.533 MEV
 1330    1 SI 30 ( 1 HE  4, 1 NE  1)  1 S  33 +  -3.493 MEV
 1331    1 S  34 ( 1 NE  1, 0      )  1 S  35 +   6.985 MEV
 1332    1 S  35 ( 1 NE  1, 0      )  1 S  36 +   9.889 MEV
 1333    1 S  36 ( 1 NE  1, 0      )  1 S  37 +   4.303 MEV
 1334    1 S  28 ( 1 H   1, 0      )  1 CL 29 +  -2.405 MEV
 1335    1 S  29 ( 1 H   1, 0      )  1 CL 30 +  -0.310 MEV
 1336    1 S  30 ( 1 H   1, 0      )  1 CL 31 +   0.290 MEV
 1337    1 S  31 ( 1 H   1, 0      )  1 CL 32 +   1.574 MEV
 1338    1 S  32 ( 1 H   1, 0      )  1 CL 33 +   2.277 MEV
 1339    1 S  33 ( 1 H   1, 0      )  1 CL 34 +   5.143 MEV
 1340    1 S  34 ( 1 H   1, 0      )  1 CL 35 +   6.371 MEV
 1341    1 S  35 ( 1 H   1, 1 HE  4)  1 P  32 +   0.323 MEV
 1342    1 S  35 ( 1 H   1, 0      )  1 CL 36 +   7.965 MEV
 1343    1 P  32 ( 1 HE  4, 1 H   1)  1 S  35 +  -0.323 MEV
 1344    1 S  36 ( 1 H   1, 1 HE  4)  1 P  33 +   0.537 MEV
 1345    1 S  36 ( 1 H   1, 0      )  1 CL 37 +   8.387 MEV
 1346    1 P  33 ( 1 HE  4, 1 H   1)  1 S  36 +  -0.537 MEV
 1347    1 S  37 ( 1 H   1, 1 NE  1)  1 CL 37 +   4.084 MEV
 1348    1 S  37 ( 1 H   1, 1 HE  4)  1 P  34 +   2.517 MEV
 1349    1 S  37 ( 1 H   1, 0      )  1 CL 38 +  10.191 MEV
 1350    1 CL 37 ( 1 NE  1, 1 H   1)  1 S  37 +  -4.084 MEV
 1351    1 P  34 ( 1 HE  4, 1 H   1)  1 S  37 +  -2.517 MEV
 1352    1 S  27 ( 1 HE  4, 1 H   1)  1 CL 30 +   7.721 MEV
 1353    1 CL 30 ( 1 H   1, 1 HE  4)  1 S  27 +  -7.721 MEV
 1354    1 S  28 ( 1 HE  4, 1 H   1)  1 CL 31 +   6.275 MEV
 1355    1 S  28 ( 1 HE  4, 0      )  1 AR 32 +   8.698 MEV
 1356    1 CL 31 ( 1 H   1, 1 HE  4)  1 S  28 +  -6.275 MEV
 1357    1 S  29 ( 1 HE  4, 1 H   1)  1 CL 32 +   5.315 MEV
 1358    1 S  29 ( 1 HE  4, 0      )  1 AR 33 +   8.653 MEV
 1359    1 CL 32 ( 1 H   1, 1 HE  4)  1 S  29 +  -5.315 MEV
 1360    1 S  30 ( 1 HE  4, 1 H   1)  1 CL 33 +   2.080 MEV
 1361    1 S  30 ( 1 HE  4, 0      )  1 AR 34 +   6.744 MEV
 1362    1 CL 33 ( 1 H   1, 1 HE  4)  1 S  30 +  -2.080 MEV
 1363    1 S  31 ( 1 HE  4, 1 H   1)  1 CL 34 +   0.533 MEV
 1364    1 S  31 ( 1 HE  4, 0      )  1 AR 35 +   6.429 MEV
 1365    1 CL 34 ( 1 H   1, 1 HE  4)  1 S  31 +  -0.533 MEV
 1366    1 S  32 ( 1 HE  4, 0      )  1 AR 36 +   6.641 MEV
 1367    1 S  33 ( 1 HE  4, 0      )  1 AR 37 +   6.787 MEV
 1368    1 S  34 ( 1 HE  4, 0      )  1 AR 38 +   7.208 MEV
 1369    1 S  35 ( 1 HE  4, 1 NE  1)  1 AR 38 +   0.223 MEV
 1370    1 S  35 ( 1 HE  4, 0      )  1 AR 39 +   6.821 MEV
 1371    1 AR 38 ( 1 NE  1, 1 HE  4)  1 S  35 +  -0.223 MEV
 1372    1 S  36 ( 1 HE  4, 0      )  1 AR 40 +   6.801 MEV
 1373    1 S  37 ( 1 HE  4, 1 NE  1)  1 AR 40 +   2.498 MEV
 1374    1 S  37 ( 1 HE  4, 0      )  1 AR 41 +   8.597 MEV
 1375    1 AR 40 ( 1 NE  1, 1 HE  4)  1 S  37 +  -2.498 MEV
 1376    1 S  27 ( 0      , 1 H   1)  1 P  26 +  -1.234 MEV
 1377    1 S  28 ( 0      , 1 NE  1)  1 S  27 + -21.026 MEV
 1378    1 S  28 ( 0      , 1 H   1)  1 P  27 +  -2.460 MEV
 1379    1 S  28 ( 0      , 1 HE  4)  1 SI 24 +  -9.096 MEV
 1380    1 S  29 ( 0      , 1 NE  1)  1 S  28 + -15.300 MEV
 1381    1 S  29 ( 0      , 1 H   1)  1 P  28 +  -3.297 MEV
 1382    1 S  29 ( 0      , 1 HE  4)  1 SI 25 +  -9.408 MEV
 1383    1 S  30 ( 0      , 1 NE  1)  1 S  29 + -18.974 MEV
 1384    1 S  30 ( 0      , 1 H   1)  1 P  29 +  -4.399 MEV
 1385    1 S  30 ( 0      , 1 HE  4)  1 SI 26 +  -9.343 MEV
 1386    1 S  31 ( 0      , 1 NE  1)  1 S  30 + -13.055 MEV
 1387    1 S  31 ( 0      , 1 H   1)  1 P  30 +  -6.131 MEV
 1388    1 S  31 ( 0      , 1 HE  4)  1 SI 27 +  -9.084 MEV
 1389    1 S  32 ( 0      , 1 NE  1)  1 S  31 + -15.044 MEV
 1390    1 S  32 ( 0      , 1 H   1)  1 P  31 +  -8.864 MEV
 1391    1 S  32 ( 0      , 1 HE  4)  1 SI 28 +  -6.948 MEV
 1392    1 S  33 ( 0      , 1 NE  1)  1 S  32 +  -8.641 MEV
 1393    1 S  33 ( 0      , 1 H   1)  1 P  32 +  -9.570 MEV
 1394    1 S  33 ( 0      , 1 HE  4)  1 SI 29 +  -7.116 MEV
 1395    1 S  34 ( 0      , 1 NE  1)  1 S  33 + -11.417 MEV
 1396    1 S  34 ( 0      , 1 H   1)  1 P  33 + -10.884 MEV
 1397    1 S  34 ( 0      , 1 HE  4)  1 SI 30 +  -7.924 MEV
 1398    1 S  35 ( 0      , 1 NE  1)  1 S  34 +  -6.985 MEV
 1399    1 S  35 ( 0      , 1 H   1)  1 P  34 + -11.586 MEV
 1400    1 S  35 ( 0      , 1 HE  4)  1 SI 31 +  -8.322 MEV
 1401    1 S  36 ( 0      , 1 NE  1)  1 S  35 +  -9.889 MEV
 1402    1 S  36 ( 0      , 1 H   1)  1 P  35 + -13.095 MEV
 1403    1 S  37 ( 0      , 1 NE  1)  1 S  36 +  -4.303 MEV
 1404    1 S  37 ( 0      , 1 H   1)  1 P  36 + -13.934 MEV
 1405    1 CL 29 ( 1 NE  1, 1 H   1)  1 S  29 +  17.705 MEV
 1406    1 CL 29 ( 1 NE  1, 1 HE  4)  1 P  26 +   8.440 MEV
 1407    1 CL 29 ( 1 NE  1, 0      )  1 CL 30 +  17.395 MEV
 1408    1 S  29 ( 1 H   1, 1 NE  1)  1 CL 29 + -17.705 MEV
 1409    1 P  26 ( 1 HE  4, 1 NE  1)  1 CL 29 +  -8.440 MEV
 1410    1 CL 30 ( 1 NE  1, 1 H   1)  1 S  30 +  19.284 MEV
 1411    1 CL 30 ( 1 NE  1, 1 HE  4)  1 P  27 +  10.811 MEV
 1412    1 CL 30 ( 1 NE  1, 0      )  1 CL 31 +  19.580 MEV
 1413    1 S  30 ( 1 H   1, 1 NE  1)  1 CL 30 + -19.284 MEV
 1414    1 P  27 ( 1 HE  4, 1 NE  1)  1 CL 30 + -10.811 MEV
 1415    1 CL 31 ( 1 NE  1, 1 H   1)  1 S  31 +  12.759 MEV
 1416    1 CL 31 ( 1 NE  1, 1 HE  4)  1 P  28 +   5.728 MEV
 1417    1 CL 31 ( 1 NE  1, 0      )  1 CL 32 +  14.340 MEV
 1418    1 S  31 ( 1 H   1, 1 NE  1)  1 CL 31 + -12.759 MEV
 1419    1 P  28 ( 1 HE  4, 1 NE  1)  1 CL 31 +  -5.728 MEV
 1420    1 CL 32 ( 1 NE  1, 1 H   1)  1 S  32 +  13.463 MEV
 1421    1 CL 32 ( 1 NE  1, 1 HE  4)  1 P  29 +   9.263 MEV
 1422    1 CL 32 ( 1 NE  1, 0      )  1 CL 33 +  15.739 MEV
 1423    1 S  32 ( 1 H   1, 1 NE  1)  1 CL 32 + -13.463 MEV
 1424    1 P  29 ( 1 HE  4, 1 NE  1)  1 CL 32 +  -9.263 MEV
 1425    1 CL 33 ( 1 NE  1, 1 H   1)  1 S  33 +   6.365 MEV
 1426    1 CL 33 ( 1 NE  1, 1 HE  4)  1 P  30 +   4.844 MEV
 1427    1 CL 33 ( 1 NE  1, 0      )  1 CL 34 +  11.508 MEV
 1428    1 S  33 ( 1 H   1, 1 NE  1)  1 CL 33 +  -6.365 MEV
 1429    1 P  30 ( 1 HE  4, 1 NE  1)  1 CL 33 +  -4.844 MEV
 1430    1 CL 34 ( 1 NE  1, 1 H   1)  1 S  34 +   6.274 MEV
 1431    1 CL 34 ( 1 NE  1, 1 HE  4)  1 P  31 +   5.647 MEV
 1432    1 CL 34 ( 1 NE  1, 0      )  1 CL 35 +  12.645 MEV
 1433    1 S  34 ( 1 H   1, 1 NE  1)  1 CL 34 +  -6.274 MEV
 1434    1 P  31 ( 1 HE  4, 1 NE  1)  1 CL 34 +  -5.647 MEV
 1435    1 CL 35 ( 1 NE  1, 1 H   1)  1 S  35 +   0.614 MEV
 1436    1 CL 35 ( 1 NE  1, 1 HE  4)  1 P  32 +   0.937 MEV
 1437    1 CL 35 ( 1 NE  1, 0      )  1 CL 36 +   8.579 MEV
 1438    1 S  35 ( 1 H   1, 1 NE  1)  1 CL 35 +  -0.614 MEV
 1439    1 P  32 ( 1 HE  4, 1 NE  1)  1 CL 35 +  -0.937 MEV
 1440    1 CL 36 ( 1 NE  1, 1 H   1)  1 S  36 +   1.924 MEV
 1441    1 CL 36 ( 1 NE  1, 1 HE  4)  1 P  33 +   2.461 MEV
 1442    1 CL 36 ( 1 NE  1, 0      )  1 CL 37 +  10.311 MEV
 1443    1 S  36 ( 1 H   1, 1 NE  1)  1 CL 36 +  -1.924 MEV
 1444    1 P  33 ( 1 HE  4, 1 NE  1)  1 CL 36 +  -2.461 MEV
 1445    1 CL 37 ( 1 NE  1, 0      )  1 CL 38 +   6.107 MEV
 1446    1 CL 38 ( 1 NE  1, 1 HE  4)  1 P  35 +   0.706 MEV
 1447    1 CL 38 ( 1 NE  1, 0      )  1 CL 39 +   8.073 MEV
 1448    1 P  35 ( 1 HE  4, 1 NE  1)  1 CL 38 +  -0.706 MEV
 1449    1 CL 39 ( 1 NE  1, 0      )  1 CL 40 +   5.829 MEV
 1450    1 CL 31 ( 1 H   1, 0      )  1 AR 32 +   2.420 MEV
 1451    1 CL 32 ( 1 H   1, 0      )  1 AR 33 +   3.343 MEV
 1452    1 CL 33 ( 1 H   1, 0      )  1 AR 34 +   4.664 MEV
 1453    1 CL 34 ( 1 H   1, 0      )  1 AR 35 +   5.896 MEV
 1454    1 CL 35 ( 1 H   1, 1 HE  4)  1 S  32 +   1.866 MEV
 1455    1 CL 35 ( 1 H   1, 0      )  1 AR 36 +   8.507 MEV
 1456    1 S  32 ( 1 HE  4, 1 H   1)  1 CL 35 +  -1.866 MEV
 1457    1 CL 36 ( 1 H   1, 1 HE  4)  1 S  33 +   1.928 MEV
 1458    1 CL 36 ( 1 H   1, 0      )  1 AR 37 +   8.715 MEV
 1459    1 S  33 ( 1 HE  4, 1 H   1)  1 CL 36 +  -1.928 MEV
 1460    1 CL 37 ( 1 H   1, 1 HE  4)  1 S  34 +   3.034 MEV
 1461    1 CL 37 ( 1 H   1, 0      )  1 AR 38 +  10.242 MEV
 1462    1 S  34 ( 1 HE  4, 1 H   1)  1 CL 37 +  -3.034 MEV
 1463    1 CL 38 ( 1 H   1, 1 NE  1)  1 AR 38 +   4.135 MEV
 1464    1 CL 38 ( 1 H   1, 1 HE  4)  1 S  35 +   3.912 MEV
 1465    1 CL 38 ( 1 H   1, 0      )  1 AR 39 +  10.733 MEV
 1466    1 AR 38 ( 1 NE  1, 1 H   1)  1 CL 38 +  -4.135 MEV
 1467    1 S  35 ( 1 HE  4, 1 H   1)  1 CL 38 +  -3.912 MEV
 1468    1 CL 39 ( 1 H   1, 1 NE  1)  1 AR 39 +   2.660 MEV
 1469    1 CL 39 ( 1 H   1, 1 HE  4)  1 S  36 +   5.728 MEV
 1470    1 CL 39 ( 1 H   1, 0      )  1 AR 40 +  12.529 MEV
 1471    1 AR 39 ( 1 NE  1, 1 H   1)  1 CL 39 +  -2.660 MEV
 1472    1 S  36 ( 1 HE  4, 1 H   1)  1 CL 39 +  -5.728 MEV
 1473    1 CL 40 ( 1 H   1, 1 NE  1)  1 AR 40 +   6.700 MEV
 1474    1 CL 40 ( 1 H   1, 1 HE  4)  1 S  37 +   4.202 MEV
 1475    1 CL 40 ( 1 H   1, 0      )  1 AR 41 +  12.799 MEV
 1476    1 AR 40 ( 1 NE  1, 1 H   1)  1 CL 40 +  -6.700 MEV
 1477    1 S  37 ( 1 HE  4, 1 H   1)  1 CL 40 +  -4.202 MEV
 1478    1 CL 29 ( 1 HE  4, 1 H   1)  1 AR 32 +  11.103 MEV
 1479    1 AR 32 ( 1 H   1, 1 HE  4)  1 CL 29 + -11.103 MEV
 1480    1 CL 30 ( 1 HE  4, 1 H   1)  1 AR 33 +   8.963 MEV
 1481    1 CL 30 ( 1 HE  4, 0      )  1 K  34 +   8.088 MEV
 1482    1 AR 33 ( 1 H   1, 1 HE  4)  1 CL 30 +  -8.963 MEV
 1483    1 CL 31 ( 1 HE  4, 1 H   1)  1 AR 34 +   6.448 MEV
 1484    1 CL 31 ( 1 HE  4, 0      )  1 K  35 +   6.532 MEV
 1485    1 AR 34 ( 1 H   1, 1 HE  4)  1 CL 31 +  -6.448 MEV
 1486    1 CL 32 ( 1 HE  4, 1 H   1)  1 AR 35 +   4.848 MEV
 1487    1 CL 32 ( 1 HE  4, 0      )  1 K  36 +   6.507 MEV
 1488    1 AR 35 ( 1 H   1, 1 HE  4)  1 CL 32 +  -4.848 MEV
 1489    1 CL 33 ( 1 HE  4, 1 H   1)  1 AR 36 +   4.365 MEV
 1490    1 CL 33 ( 1 HE  4, 0      )  1 K  37 +   6.222 MEV
 1491    1 AR 36 ( 1 H   1, 1 HE  4)  1 CL 33 +  -4.365 MEV
 1492    1 CL 34 ( 1 HE  4, 1 H   1)  1 AR 37 +   1.644 MEV
 1493    1 CL 34 ( 1 HE  4, 0      )  1 K  38 +   6.786 MEV
 1494    1 AR 37 ( 1 H   1, 1 HE  4)  1 CL 34 +  -1.644 MEV
 1495    1 CL 35 ( 1 HE  4, 1 H   1)  1 AR 38 +   0.837 MEV
 1496    1 CL 35 ( 1 HE  4, 0      )  1 K  39 +   7.218 MEV
 1497    1 AR 38 ( 1 H   1, 1 HE  4)  1 CL 35 +  -0.837 MEV
 1498    1 CL 36 ( 1 HE  4, 0      )  1 K  40 +   6.438 MEV
 1499    1 CL 37 ( 1 HE  4, 0      )  1 K  41 +   6.223 MEV
 1500    1 CL 38 ( 1 HE  4, 1 NE  1)  1 K  41 +   0.116 MEV
 1501    1 CL 38 ( 1 HE  4, 0      )  1 K  42 +   7.649 MEV
 1502    1 K  41 ( 1 NE  1, 1 HE  4)  1 CL 38 +  -0.116 MEV
 1503    1 CL 39 ( 1 HE  4, 0      )  1 K  43 +   9.200 MEV
 1504    1 CL 40 ( 1 HE  4, 1 NE  1)  1 K  43 +   3.371 MEV
 1505    1 CL 40 ( 1 HE  4, 0      )  1 K  44 +  10.648 MEV
 1506    1 K  43 ( 1 NE  1, 1 HE  4)  1 CL 40 +  -3.371 MEV
 1507    1 CL 29 ( 0      , 1 H   1)  1 S  28 +   2.405 MEV
 1508    1 CL 30 ( 0      , 1 NE  1)  1 CL 29 + -17.395 MEV
 1509    1 CL 30 ( 0      , 1 H   1)  1 S  29 +   0.310 MEV
 1510    1 CL 30 ( 0      , 1 HE  4)  1 P  26 +  -8.955 MEV
 1511    1 CL 31 ( 0      , 1 NE  1)  1 CL 30 + -19.580 MEV
 1512    1 CL 31 ( 0      , 1 H   1)  1 S  30 +  -0.290 MEV
 1513    1 CL 31 ( 0      , 1 HE  4)  1 P  27 +  -8.769 MEV
 1514    1 CL 32 ( 0      , 1 NE  1)  1 CL 31 + -14.340 MEV
 1515    1 CL 32 ( 0      , 1 H   1)  1 S  31 +  -1.574 MEV
 1516    1 CL 32 ( 0      , 1 HE  4)  1 P  28 +  -8.612 MEV
 1517    1 CL 33 ( 0      , 1 NE  1)  1 CL 32 + -15.739 MEV
 1518    1 CL 33 ( 0      , 1 H   1)  1 S  32 +  -2.277 MEV
 1519    1 CL 33 ( 0      , 1 HE  4)  1 P  29 +  -6.476 MEV
 1520    1 CL 34 ( 0      , 1 NE  1)  1 CL 33 + -11.508 MEV
 1521    1 CL 34 ( 0      , 1 H   1)  1 S  33 +  -5.143 MEV
 1522    1 CL 34 ( 0      , 1 HE  4)  1 P  30 +  -6.664 MEV
 1523    1 CL 35 ( 0      , 1 NE  1)  1 CL 34 + -12.645 MEV
 1524    1 CL 35 ( 0      , 1 H   1)  1 S  34 +  -6.371 MEV
 1525    1 CL 35 ( 0      , 1 HE  4)  1 P  31 +  -6.998 MEV
 1526    1 CL 36 ( 0      , 1 NE  1)  1 CL 35 +  -8.579 MEV
 1527    1 CL 36 ( 0      , 1 H   1)  1 S  35 +  -7.965 MEV
 1528    1 CL 36 ( 0      , 1 HE  4)  1 P  32 +  -7.642 MEV
 1529    1 CL 37 ( 0      , 1 NE  1)  1 CL 36 + -10.311 MEV
 1530    1 CL 37 ( 0      , 1 H   1)  1 S  36 +  -8.387 MEV
 1531    1 CL 37 ( 0      , 1 HE  4)  1 P  33 +  -7.850 MEV
 1532    1 CL 38 ( 0      , 1 NE  1)  1 CL 37 +  -6.107 MEV
 1533    1 CL 38 ( 0      , 1 H   1)  1 S  37 + -10.191 MEV
 1534    1 CL 38 ( 0      , 1 HE  4)  1 P  34 +  -7.674 MEV
 1535    1 CL 39 ( 0      , 1 NE  1)  1 CL 38 +  -8.073 MEV
 1536    1 CL 39 ( 0      , 1 HE  4)  1 P  35 +  -7.367 MEV
 1537    1 CL 40 ( 0      , 1 NE  1)  1 CL 39 +  -5.829 MEV
 1538    1 CL 40 ( 0      , 1 HE  4)  1 P  36 +  -9.732 MEV
 1539    1 AR 32 ( 1 NE  1, 1 H   1)  1 CL 32 +  11.917 MEV
 1540    1 AR 32 ( 1 NE  1, 1 HE  4)  1 S  29 +   6.602 MEV
 1541    1 AR 32 ( 1 NE  1, 0      )  1 AR 33 +  15.255 MEV
 1542    1 CL 32 ( 1 H   1, 1 NE  1)  1 AR 32 + -11.917 MEV
 1543    1 S  29 ( 1 HE  4, 1 NE  1)  1 AR 32 +  -6.602 MEV
 1544    1 AR 33 ( 1 NE  1, 1 H   1)  1 CL 33 +  12.401 MEV
 1545    1 AR 33 ( 1 NE  1, 1 HE  4)  1 S  30 +  10.321 MEV
 1546    1 AR 33 ( 1 NE  1, 0      )  1 AR 34 +  17.065 MEV
 1547    1 CL 33 ( 1 H   1, 1 NE  1)  1 AR 33 + -12.401 MEV
 1548    1 S  30 ( 1 HE  4, 1 NE  1)  1 AR 33 + -10.321 MEV
 1549    1 AR 34 ( 1 NE  1, 1 H   1)  1 CL 34 +   6.844 MEV
 1550    1 AR 34 ( 1 NE  1, 1 HE  4)  1 S  31 +   6.311 MEV
 1551    1 AR 34 ( 1 NE  1, 0      )  1 AR 35 +  12.740 MEV
 1552    1 CL 34 ( 1 H   1, 1 NE  1)  1 AR 34 +  -6.844 MEV
 1553    1 S  31 ( 1 HE  4, 1 NE  1)  1 AR 34 +  -6.311 MEV
 1554    1 AR 35 ( 1 NE  1, 1 H   1)  1 CL 35 +   6.749 MEV
 1555    1 AR 35 ( 1 NE  1, 1 HE  4)  1 S  32 +   8.615 MEV
 1556    1 AR 35 ( 1 NE  1, 0      )  1 AR 36 +  15.256 MEV
 1557    1 CL 35 ( 1 H   1, 1 NE  1)  1 AR 35 +  -6.749 MEV
 1558    1 S  32 ( 1 HE  4, 1 NE  1)  1 AR 35 +  -8.615 MEV
 1559    1 AR 36 ( 1 NE  1, 1 H   1)  1 CL 36 +   0.072 MEV
 1560    1 AR 36 ( 1 NE  1, 1 HE  4)  1 S  33 +   2.000 MEV
 1561    1 AR 36 ( 1 NE  1, 0      )  1 AR 37 +   8.787 MEV
 1562    1 CL 36 ( 1 H   1, 1 NE  1)  1 AR 36 +  -0.072 MEV
 1563    1 S  33 ( 1 HE  4, 1 NE  1)  1 AR 36 +  -2.000 MEV
 1564    1 AR 37 ( 1 NE  1, 1 H   1)  1 CL 37 +   1.596 MEV
 1565    1 AR 37 ( 1 NE  1, 1 HE  4)  1 S  34 +   4.630 MEV
 1566    1 AR 37 ( 1 NE  1, 0      )  1 AR 38 +  11.838 MEV
 1567    1 CL 37 ( 1 H   1, 1 NE  1)  1 AR 37 +  -1.596 MEV
 1568    1 S  34 ( 1 HE  4, 1 NE  1)  1 AR 37 +  -4.630 MEV
 1569    1 AR 38 ( 1 NE  1, 0      )  1 AR 39 +   6.598 MEV
 1570    1 AR 39 ( 1 NE  1, 1 HE  4)  1 S  36 +   3.068 MEV
 1571    1 AR 39 ( 1 NE  1, 0      )  1 AR 40 +   9.869 MEV
 1572    1 S  36 ( 1 HE  4, 1 NE  1)  1 AR 39 +  -3.068 MEV
 1573    1 AR 40 ( 1 NE  1, 0      )  1 AR 41 +   6.099 MEV
 1574    1 AR 33 ( 1 H   1, 0      )  1 K  34 +  -0.875 MEV
 1575    1 AR 34 ( 1 H   1, 0      )  1 K  35 +   0.084 MEV
 1576    1 AR 35 ( 1 H   1, 0      )  1 K  36 +   1.668 MEV
 1577    1 AR 36 ( 1 H   1, 0      )  1 K  37 +   1.858 MEV
 1578    1 AR 37 ( 1 H   1, 0      )  1 K  38 +   5.142 MEV
 1579    1 AR 38 ( 1 H   1, 0      )  1 K  39 +   6.381 MEV
