213        Isotope List   
     Name    A   Z 
  124    1 SC 47 ( 0      , 0      )  1 TI 47 +   0.600 MEV
  125    1 SC 48 ( 0      , 0      )  1 TI 48 +   3.992 MEV
  126    1 SC 49 ( 0      , 0      )  1 TI 49 +   2.006 MEV
  127    1 SC 50 ( 0      , 0      )  1 TI 50 +   6.890 MEV
  128    1 TI 41 ( 0      , 0      )  1 SC 41 +  13.552 MEV
  129    1 TI 42 ( 0      , 0      )  1 SC 42 +   7.000 MEV
  130    1 TI 43 ( 0      , 0      )  1 SC 43 +   6.867 MEV
  131    1 TI 44 ( 0      , 0      )  1 SC 44 +   0.268 MEV
  132    1 TI 45 ( 0      , 0      )  1 SC 45 +   2.062 MEV
  133    1 TI 51 ( 0      , 0      )  1 V  51 +   2.474 MEV
  134    1 V  44 ( 0      , 0      )  1 TI 44 +  13.430 MEV
  135    1 V  45 ( 0      , 0      )  1 TI 45 +   7.126 MEV
  136    1 V  46 ( 0      , 0      )  1 TI 46 +   7.050 MEV
  137    1 V  47 ( 0      , 0      )  1 TI 47 +   2.930 MEV
  138    1 V  48 ( 0      , 0      )  1 TI 48 +   4.012 MEV
  139    1 V  49 ( 0      , 0      )  1 TI 49 +   0.602 MEV
  140    1 V  50 ( 0      , 0      )  1 TI 50 +   2.206 MEV
  141    1 V  50 ( 0      , 0      )  1 CR 50 +   1.037 MEV
  142    1 V  52 ( 0      , 0      )  1 CR 52 +   3.976 MEV
  143    1 V  53 ( 0      , 0      )  1 CR 53 +   3.436 MEV
  144    1 V  54 ( 0      , 0      )  1 CR 54 +   7.042 MEV
  145    1 CR 45 ( 0      , 0      )  1 V  45 +  12.910 MEV
  146    1 CR 46 ( 0      , 0      )  1 V  46 +   7.599 MEV
  147    1 CR 47 ( 0      , 0      )  1 V  47 +   7.444 MEV
  148    1 CR 48 ( 0      , 0      )  1 V  48 +   1.656 MEV
  149    1 CR 49 ( 0      , 0      )  1 V  49 +   2.626 MEV
  150    1 CR 51 ( 0      , 0      )  1 V  51 +   0.753 MEV
  151    1 H   2 ( 0      , 1 NE  1)  1 H   1 +  -2.225 MEV
  152    1 H   3 ( 0      , 1 NE  1)  1 H   2 +  -6.257 MEV
  153    1 HE  3 ( 0      , 1 H   1)  1 H   2 +  -5.493 MEV
  154    1 HE  4 ( 0      , 1 NE  1)  1 HE  3 + -20.577 MEV
  155    1 HE  4 ( 0      , 1 H   1)  1 H   3 + -19.814 MEV
  156    1 HE  4 ( 0      , 0      )  2 H   2 + -23.847 MEV
  157    1 LI  6 ( 0      , 1 HE  4)  1 H   2 +  -1.474 MEV
  158    1 LI  7 ( 0      , 1 HE  4)  1 H   3 +  -2.467 MEV
  159    1 LI  8 ( 0      , 0      )  2 HE  4 +  16.097 MEV
  160    1 BE  7 ( 0      , 1 HE  4)  1 HE  3 +  -1.586 MEV
  161    1 BE 11 ( 0      , 1 HE  4)  1 LI  7 +   2.841 MEV
  162    1 B   8 ( 0      , 0      )  2 HE  4 +  18.072 MEV
  163    1 N  16 ( 0      , 1 HE  4)  1 C  12 +   3.258 MEV
  164    1 N  17 ( 0      , 1 NE  1)  1 O  16 +   4.537 MEV
  165    1 N  18 ( 0      , 1 NE  1)  1 O  17 +   5.852 MEV
  166    1 N  18 ( 0      , 1 HE  4)  1 C  14 +   7.669 MEV
